YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,AASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN über AAsylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. § 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber AAsylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von EErstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber EErstantraege Anerkennungen als Fluechtling gem. § 3 I AsylG,ENTSCHEIDUNGEN ueber EErstantraege Gewaehrung von subsidiaerem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN ueber ErsErstantraege Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber EErstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber EErstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber FFolgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber FFolgeantraege Anerkennungen als Fluechtling gem. § 3 I AsylG,ENTSCHEIDUNGEN ueber FFolgeantraege Gewaehrung von subsidiaerem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN übueber FFolgeantraege Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber FFolgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber FFolgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber FFolgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2016-05,Korea (Demokrat. Volksrepubl.),434,2,2,0,1,0,0,0,0,0,1,118,3,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-05,Indien,436,199,198,1,151,0,0,0,0,107,44,3850,78,0,0,0,0,107,41,0,0,0,0,0,1,2
2016-05,Indonesien,437,1,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Irak,438,8349,8295,54,2203,24,1301,235,11,276,356,56030,1587,24,1265,222,11,270,331,0,36,13,0,6,8,17
2016-05,"Iran, Islamische Republik",439,2089,2062,27,275,21,105,6,2,52,89,15365,639,21,104,3,2,47,81,0,1,3,0,5,3,5
2016-05,Israel,441,2,2,0,1,0,0,0,0,0,1,54,5,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-05,Kasachstan,444,3,2,1,0,0,0,0,0,0,0,142,35,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Jordanien,445,10,9,1,9,0,1,0,0,1,7,260,30,0,1,0,0,1,6,0,0,0,0,0,0,1
2016-05,Kambodscha,446,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Katar,447,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Kuwait,448,2,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,"Laos, Demokratische Volksrepublik",449,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Kirgisistan,450,5,5,0,6,3,1,0,0,1,1,102,20,3,1,0,0,1,1,0,0,0,0,0,0,0
2016-05,Libanon,451,378,370,8,107,0,3,7,1,58,38,3069,234,0,3,7,1,56,29,0,0,0,0,2,3,6
2016-05,Oman,456,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Mongolei,457,27,27,0,19,0,0,0,0,7,12,638,29,0,0,0,0,7,12,0,0,0,0,0,0,0
2016-05,Nepal,458,14,14,0,0,0,0,0,0,0,0,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Staatsangehoerigkeit ohne Bezeichnung,459,13,12,1,10,0,2,0,0,8,0,353,2,0,2,0,0,8,0,0,0,0,0,0,0,0
2016-05,Bangladesch,460,112,111,1,67,4,1,0,1,36,25,1448,54,4,1,0,1,36,22,0,0,0,0,0,3,0
2016-05,Pakistan,461,1095,1080,15,237,1,12,1,0,109,114,17110,515,1,12,1,0,108,100,0,0,0,0,1,3,11
2016-05,Philippinen,462,1,1,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,China (Taiwan),465,6,6,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Korea (Republik),467,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Vereinigte arabische Emirate,469,1,1,0,1,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-05,Tadschikistan,470,137,134,3,17,0,1,0,0,5,11,728,36,0,1,0,0,5,7,0,0,0,0,0,4,0
2016-05,Turkmenistan,471,10,10,0,15,0,0,0,0,1,14,778,11,0,0,0,0,1,14,0,0,0,0,0,0,0
2016-05,Saudi Arabien,472,13,13,0,4,4,0,0,0,0,0,44,1,4,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,"Syrien, Arabische Republik",475,21651,21544,107,16836,41,11522,4805,14,21,433,110182,1219,41,11424,4781,14,20,411,0,98,24,0,1,18,4
2016-05,Thailand,476,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Usbekistan,477,3,3,0,0,0,0,0,0,0,0,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,China,479,59,55,4,31,1,5,0,0,19,6,1130,62,1,5,0,0,19,5,0,0,0,0,0,1,0
2016-05,Malaysia,482,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,sonst. asiat. Staatsangeh.,499,375,369,6,225,0,129,48,1,16,31,2971,140,0,129,45,1,16,26,0,0,3,0,0,5,0
2016-05,Australien,523,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Staatenlos,997,424,420,4,282,2,190,69,0,7,14,3601,66,2,190,68,0,7,13,0,0,1,0,0,1,0
2016-05,Ungeklaert,998,1091,1077,14,484,4,269,110,1,31,69,18551,363,4,266,108,1,30,66,0,3,2,0,1,2,1
2016-05,ohne Angabe,999,2,1,1,1,0,0,0,0,1,0,96,5,0,0,0,0,1,0,0,0,0,0,0,0,0
