Türkei,163,546,506,40,764,36,203,4,4,382,135,2.672,180,36,203,4,3,355,103,-,-,-,1,27,22,10,
Ungarn,165,-,-,-,3,-,-,-,-,-,3,1,1,-,-,-,-,-,2,-,-,-,-,-,-,1,
Ukraine,166,96,79,17,114,-,6,1,1,75,31,373,28,-,6,1,1,71,22,-,-,-,-,4,3,6,
Großbritannien mit Nordirland,168,-,-,-,1,-,-,-,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,
Weißrussland,169,23,11,12,38,-,-,-,1,3,34,27,15,-,-,-,1,2,25,-,-,-,-,1,7,2,
Serbien,170,215,91,124,237,-,-,-,1,87,149,211,178,-,-,-,1,72,16,-,-,-,-,15,114,19,
sonst. europ. Staatsangeh.,199,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,
Europa,1.945,1.360,585,2.822,47,229,11,45,1.418,1.072,5.058,1.019,47,222,7,29,1.275,415,-,7,4,16,143,494,163,,
Algerien,221,145,121,24,204,-,1,2,-,74,127,242,46,-,1,2,-,68,99,-,-,-,-,6,23,5,
Angola,223,25,24,1,40,-,-,-,1,14,25,78,4,-,-,-,1,14,24,-,-,-,-,-,-,1,
Eritrea,224,779,759,20,1.049,12,206,492,19,33,287,1.793,75,12,206,489,12,33,258,-,-,3,7,-,8,21,
"Äthiopien",225,83,67,16,200,-,23,6,15,109,47,327,28,-,23,5,12,104,28,-,-,1,3,5,10,9,
Botsuana,227,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Benin,229,8,8,-,16,-,-,-,-,5,11,24,-,-,-,-,-,5,11,-,-,-,-,-,-,-,
Dschibuti,230,1,-,1,1,-,1,-,-,-,-,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,
Elfenbeinküste (Cote d Ivoire),231,55,52,3,144,-,5,3,7,75,54,190,10,-,5,3,7,74,50,-,-,-,-,1,2,2,
Nigeria,232,1.005,946,59,1.264,1,67,10,93,454,639,3.240,191,1,67,10,87,439,555,-,-,-,6,15,45,39,
Simbabwe,233,4,4,-,6,1,-,-,-,5,-,27,-,1,-,-,-,5,-,-,-,-,-,-,-,-,
Gabun,236,2,2,-,11,-,1,1,1,5,3,10,-,-,1,1,1,5,3,-,-,-,-,-,-,-,
Gambia,237,100,86,14,541,1,8,-,18,344,170,689,94,1,8,-,18,335,134,-,-,-,-,9,6,30,
Ghana,238,82,73,9,104,-,2,3,-,57,42,209,29,-,-,3,-,55,35,-,2,-,-,2,5,2,
Mauretanien,239,2,2,-,5,-,1,-,-,3,1,11,2,-,1,-,-,3,1,-,-,-,-,-,-,-,
Cabo Verde,242,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,
Kenia,243,38,38,-,35,-,-,-,-,15,20,83,-,-,-,-,-,15,20,-,-,-,-,-,-,-,
Komoren,244,-,-,-,1,-,-,-,-,1,-,8,-,-,-,-,-,1,-,-,-,-,-,-,-,-,
Kongo,245,3,3,-,5,-,-,-,-,1,4,11,-,-,-,-,-,1,3,-,-,-,-,-,-,1,
"Kongo, Dem. Republik",246,37,26,11,46,4,3,-,4,27,8,114,18,-,3,-,4,24,4,4,-,-,-,3,1,3,
Liberia,247,16,15,1,52,-,5,-,5,20,22,61,3,-,5,-,5,20,21,-,-,-,-,-,-,1,
Libyen,248,92,87,5,143,2,12,8,14,40,67,278,20,2,12,8,6,39,61,-,-,-,8,1,-,6,
Madagaskar,249,-,-,-,1,-,-,-,-,1,-,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,
Mali,251,34,28,6,57,-,-,-,2,27,28,99,14,-,-,-,2,26,19,-,-,-,-,1,2,7,
Marokko,252,115,93,22,175,-,7,2,-,76,90,216,48,-,7,2,-,73,63,-,-,-,-,3,18,9,
Mosambik,254,-,-,-,6,-,-,-,-,6,-,7,-,-,-,-,-,6,-,-,-,-,-,-,-,-,
Niger,255,13,8,5,12,-,-,-,-,2,10,19,4,-,-,-,-,2,7,-,-,-,-,-,2,1,
Malawi,256,2,2,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Sambia,257,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Burkina-Faso,258,11,10,1,18,-,-,-,-,13,5,28,1,-,-,-,-,12,4,-,-,-,-,1,1,-,
Guinea-Bissau,259,23,18,5,32,-,-,-,2,16,14,41,5,-,-,-,2,16,11,-,-,-,-,-,2,1,
Guinea,261,213,186,27,406,1,46,1,25,184,149,777,45,1,45,1,20,179,124,-,1,-,5,5,6,19,
Kamerun,262,90,82,8,142,-,5,4,-,74,59,287,14,-,5,4,-,74,49,-,-,-,-,-,4,6,
Südafrika,263,3,3,-,2,-,-,-,-,2,-,11,-,-,-,-,-,2,-,-,-,-,-,-,-,-,
Ruanda,265,3,3,-,19,2,5,-,-,12,-,35,-,2,5,-,-,12,-,-,-,-,-,-,-,-,
Namibia,267,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Senegal,269,29,20,9,41,2,-,-,-,13,26,53,12,2,-,-,-,12,16,-,-,-,-,1,9,1,
Sierra Leone,272,62,56,6,99,-,13,-,3,49,34,143,7,-,10,-,2,48,27,-,3,-,1,1,2,5,
Somalia,273,480,415,65,857,2,205,106,65,166,313,2.068,225,2,198,105,48,161,244,-,7,1,17,5,22,47,
"Äquatorialguinea",274,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Sudan (ohne Südsudan),277,67,59,8,189,1,28,19,7,41,93,327,43,1,28,19,4,38,66,-,-,-,3,3,3,24,
Südsudan,278,1,1,-,11,-,3,-,-,6,2,9,5,-,3,-,-,6,2,-,-,-,-,-,-,-,
Tansania,282,8,8,-,3,-,-,-,-,2,1,22,1,-,-,-,-,2,1,-,-,-,-,-,-,-,
Togo,283,26,25,1,62,-,-,-,3,38,21,115,13,-,-,-,3,36,19,-,-,-,-,2,1,1,
Tschad,284,8,6,2,9,-,-,-,1,4,4,19,8,-,-,-,1,4,3,-,-,-,-,-,-,1,
Tunesien,285,61,54,7,76,-,1,1,1,22,51,120,19,-,1,1,1,20,41,-,-,-,-,2,7,3,
Uganda,286,12,11,1,14,-,2,-,-,9,3,47,3,-,2,-,-,9,3,-,-,-,-,-,-,-,
"Ägypten",287,45,38,7,82,4,3,1,-,33,41,151,29,4,3,1,-,30,33,-,-,-,-,3,5,3,
Zentralafrikanische Republik,289,1,1,-,2,-,-,-,-,1,1,8,-,-,-,-,-,1,-,-,-,-,-,-,1,-,
Burundi,291,1,1,-,8,2,3,-,-,3,-,19,1,2,3,-,-,3,-,-,-,-,-,-,-,-,
sonst. afrik. Staatsangeh.,299,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Afrika,3.786,3.442,344,6.191,35,656,659,286,2.083,2.472,12.045,1.018,31,643,654,236,2.014,2.039,4,13,5,50,69,185,248,,
Argentinien,323,-,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,
Brasilien,327,-,-,-,1,-,-,-,-,1,-,6,-,-,-,-,-,1,-,-,-,-,-,-,-,-,
Chile,332,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Dominikanische Republik,335,1,1,-,1,-,-,-,-,1,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,
Ecuador,336,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
El Salvador,337,3,3,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Guatemala,345,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Haiti,346,1,1,-,2,-,1,-,-,1,-,1,-,-,1,-,-,1,-,-,-,-,-,-,-,-,
Honduras,347,3,3,-,1,-,-,-,-,1,-,5,-,-,-,-,-,1,-,-,-,-,-,-,-,-,
Kolumbien,349,2,2,-,4,-,-,-,-,3,1,19,-,-,-,-,-,3,-,-,-,-,-,-,-,1,
Kuba,351,7,7,-,4,-,-,-,-,-,4,31,3,-,-,-,-,-,4,-,-,-,-,-,-,-,
Nicaragua,354,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Jamaica,355,4,4,-,4,-,-,-,-,4,-,4,-,-,-,-,-,4,-,-,-,-,-,-,-,-,
Peru,361,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Venezuela,367,22,22,-,25,1,4,-,2,17,1,100,-,1,4,-,2,17,-,-,-,-,-,-,1,-,
Vereinigte Staaten v. Amerika,368,-,-,-,4,-,-,-,-,3,1,7,-,-,-,-,-,2,1,-,-,-,-,1,-,-,
Trinidad und Tobago,371,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Amerika,44,44,-,48,1,5,-,2,33,7,190,3,1,5,-,2,30,5,-,-,-,-,3,1,1,,
China (Hongkong),411,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Jemen,421,61,61,-,101,-,5,63,-,1,32,260,4,-,5,62,-,1,32,-,-,1,-,-,-,-,
Armenien,422,138,109,29,299,-,-,5,12,158,124,597,92,-,-,5,4,154,81,-,-,-,8,4,40,3,
Afghanistan,423,882,687,195,1.765,4,218,70,370,608,495,3.420,448,4,189,59,316,591,320,-,29,11,54,17,107,68,
Bahrain,424,2,1,1,2,-,2,-,-,-,-,4,1,-,2,-,-,-,-,-,-,-,-,-,-,-,
Aserbaidschan,425,179,149,30,252,-,11,2,6,133,100,469,90,-,10,2,6,121,78,-,1,-,-,12,19,3,
Bhutan,426,1,1,-,1,-,-,-,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,
Myanmar,427,6,6,-,4,-,1,-,-,2,1,45,2,-,1,-,-,2,1,-,-,-,-,-,-,-,
Georgien,430,330,295,35,529,-,-,-,9,430,90,486,69,-,-,-,9,422,52,-,-,-,-,8,33,5,
Sri Lanka,431,20,16,4,78,-,5,3,2,50,18,164,56,-,5,3,-,48,10,-,-,-,2,2,4,4,
Vietnam,432,49,47,2,44,-,-,-,-,36,8,59,16,-,-,-,-,33,4,-,-,-,-,3,3,1,
Korea (Demokrat. Volksrepubl.),434,-,-,-,6,-,-,-,-,3,3,24,1,-,-,-,-,3,3,-,-,-,-,-,-,-,
Indien,436,72,61,11,113,-,-,-,-,76,37,110,21,-,-,-,-,75,28,-,-,-,-,1,5,4,
Indonesien,437,1,1,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Irak,438,1.043,895,148,1.812,9,352,72,120,688,571,5.309,403,9,342,70,102,660,417,-,10,2,18,28,76,78,
"Iran, Islamische Republik",439,928,874,54,897,25,145,11,5,371,340,2.230,187,25,142,11,3,364,281,-,3,-,2,7,38,21,
Israel,441,1,1,-,6,-,1,-,-,5,-,9,-,-,1,-,-,4,-,-,-,-,-,1,-,-,
Japan,442,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Kasachstan,444,7,4,3,6,-,-,-,-,1,5,13,2,-,-,-,-,1,3,-,-,-,-,-,2,-,
Jordanien,445,5,5,-,30,-,-,2,-,5,23,63,7,-,-,2,-,4,22,-,-,-,-,1,-,1,
Kambodscha,446,5,5,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Kuwait,448,-,-,-,1,-,-,-,-,-,1,7,1,-,-,-,-,-,1,-,-,-,-,-,-,-,
Kirgisistan,450,1,1,-,21,-,1,-,2,14,4,18,7,-,1,-,2,14,3,-,-,-,-,-,-,1,
Libanon,451,46,40,6,95,-,2,5,-,58,30,171,41,-,2,5,-,53,22,-,-,-,-,5,5,3,
Mongolei,457,10,10,-,27,-,-,-,2,13,12,64,6,-,-,-,1,13,7,-,-,-,1,-,-,5,
Nepal,458,-,-,-,7,-,-,-,-,-,7,15,4,-,-,-,-,-,6,-,-,-,-,-,1,-,
Staatsangehörigkeit ohne Bezeichnung,459,19,18,1,11,-,3,1,-,3,4,69,4,-,3,1,-,3,4,-,-,-,-,-,-,-,
Bangladesch,460,23,9,14,69,4,2,-,-,42,21,62,32,4,2,-,-,39,10,-,-,-,-,3,6,5,
Pakistan,461,242,150,92,511,-,12,3,5,285,206,483,182,-,11,2,4,265,99,-,1,1,1,20,80,27,
Philippinen,462,-,-,-,13,-,-,1,1,6,5,12,2,-,-,1,1,6,5,-,-,-,-,-,-,-,
China (Taiwan),465,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,
Korea (Republik),467,-,-,-,2,-,-,-,-,2,-,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,
Tadschikistan,470,31,25,6,94,3,10,2,1,34,44,153,26,-,10,2,1,33,37,3,-,-,-,1,4,3,
Turkmenistan,471,3,3,-,9,-,-,-,1,8,-,29,2,-,-,-,1,8,-,-,-,-,-,-,-,-,
Saudi Arabien,472,1,1,-,2,-,-,-,-,1,1,8,-,-,-,-,-,1,1,-,-,-,-,-,-,-,
"Syrien, Arabische Republik",475,2.768,2.610,158,3.603,90,1.146,1.483,21,3,860,13.374,366,90,1.083,1.470,13,-,803,-,63,13,8,3,46,11,
Thailand,476,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Usbekistan,477,-,-,-,11,-,-,-,-,6,5,34,-,-,-,-,-,6,-,-,-,-,-,-,5,-,
China,479,29,25,4,34,-,1,-,-,18,15,71,18,-,1,-,-,16,12,-,-,-,-,2,3,-,
Malaysia,482,2,2,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Brit. abhäng. Geb. in Asien,495,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,
sonst. asiat. Staatsangeh.,499,-,-,-,3,-,2,-,-,1,-,33,3,-,2,-,-,1,-,-,-,-,-,-,-,-
Asien,6.905,6.112,793,10.458,135,1.919,1.723,557,3.062,3.062,27.896,2.095,132,1.812,1.695,463,2.944,2.342,3,107,28,94,118,477,243,
Staatenlos,997,109,100,9,153,10,70,15,5,24,29,399,39,10,68,15,4,24,29,-,2,-,1,-,-,-
Ungeklärt,998,367,321,46,525,16,158,57,21,139,134,1.606,110,16,137,55,13,139,106,-,21,2,8,-,11,17
ohne Angabe,999,7,6,1,1,-,-,1,-,-,-,18,2,-,-,1,-,-,-,-,-,-,-,-,-,-
Unbekannt,483,427,56,679,26,228,73,26,163,163,2.023,151,26,205,71,17,163,135,-,23,2,9,-,11,17,
Herkunftsländer gesamt,13.163,11.385,1.778,20.198,244,3.037,2.466,916,6.759,6.776,47.212,4.286,237,2.887,2.427,747,6.426,4.936,7,150,39,169,333,1.168,672,
